admission_year,college_code,college_name,branch_code,branch_name,oc_seats,bc_seats,bcm_seats,mbc_seats,sc_seats,sca_seats,st_seats,source_url,source_published_on
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,BY,BIO MEDICAL ENGINEERING (SS),19,15,3,12,11,1,0,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CE,CIVIL ENGINEERING,18,16,3,13,10,0,0,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CM,COMPUTER SCIENCE AND ENGINEERING (SS),39,32,4,24,18,3,2,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CS,COMPUTER SCIENCE AND ENGINEERING,20,15,2,11,10,2,0,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,18,14,3,11,10,2,1,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,18,17,3,12,10,2,0,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EL,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY) (SS),18,15,3,12,10,2,0,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),16,17,2,12,9,2,1,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,GI,GEO INFORMATICS,19,16,2,13,10,2,0,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,IE,INDUSTRIAL ENGINEERING,20,17,0,13,10,2,0,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,IM,INFORMATION TECHNOLOGY (SS),37,31,5,25,18,4,2,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MA,MATERIAL SCIENCE AND ENGINEERING (SS),10,8,1,5,5,1,1,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ME,MECHANICAL ENGINEERING,38,33,4,24,18,5,1,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
2026,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MI,MINING ENGINEERING,8,9,1,6,4,1,1,https://static.tneaonline.org/docs/GENERAL-ACADEMIC-SEAT-MATRIX-AFTER-SPECIAL-RESERVATION-COUNSELLING-2026.pdf,2026-07-20
