collegeCode,collegeName,highestCutoff,competitiveBranch,cutoffYear,closingRank,programs,placementRate,medianSalary,averageSalary,highestSalary,placementYears,nirfEngineering,nirfYear,naacGrade,autonomous,hostelAvailable,facilities,website,evidenceConfidence,evidenceSourceCount,evidenceSources,missingFields,dataCoveragePercent
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",200,CS,2025,28,18,,,,,0,,,,true,true,,ceg.annauniv.edu,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",195,CH,2025,4799,11,,,,,0,,,,true,true,Medical facilities,https://www.annauniv.edu/act/,medium,1,https://actechhostels.in/home,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
3,"School of Architecture and Planning, Anna University, Chennai 600025",187,BP,2025,19440,1,64.45,750000,,,3,,,,true,true,Medical facilities | Sports facilities | Cafeteria | Auditorium | Central library | Laboratories | Innovation centre,www.annauniv.edu,medium,2,https://www.annauniv.edu/NIRF/Engineering_Anna%20University_09.03.2026.pdf | https://www.annauniv.edu/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",199.5,CS,2025,365,12,,,,,0,,,,true,true,,www.annauniv.edu/www.mitindia.edu,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
5,"Annamalai University Faculty of Engineering and Technology, Annamalai nagar,",178.5,CS,2025,39965,12,,,,,0,,,,true,true,Central library | Gymnasium | Innovation centre | Laboratories,www.annamalaiuniversity.ac.in,medium,2,https://www.annamalaiuniversity.ac.in/ | https://www.annamalaiuniversity.ac.in/Infrastructure_index.php,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District",182.5,CS,2025,29530,6,,,,,0,,,,false,true,,http://www.aucev.edu.in/index.html,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",179.5,CS,2025,37146,6,,,,,0,,,,false,true,Medical facilities | Cafeteria | Central library,www.aucet.in,medium,1,https://www.aucet.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326",174,CS,2025,51434,5,64.45,750000,,,3,,,,false,true,Laboratories | Central library | Cafeteria | Auditorium,https://www.aucearni.in/,medium,2,https://www.annauniv.edu/NIRF/Engineering_Anna%20University_09.03.2026.pdf | https://www.aucearni.in/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District",181,CS,2025,33564,5,,,,,0,,,,false,true,Central library | Medical facilities | Cafeteria,www.aucek.in,medium,2,http://www.aucek.in/ | http://www.aucek.in/hostel.html,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055",159,AD,2025,93785,9,,,,,0,,,,false,true,Sports facilities | Auditorium | Cafeteria | Gymnasium | Laboratories | Central library,www.aalimec.ac.in,medium,2,https://aalimec.ac.in/campus/ | https://aalimec.ac.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1102,Bhajarang Engineering College,133,IT,2025,164501,5,,,,,0,,,,false,,,,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | hostelAvailable | facilities | website,31
1106,"Jaya Engineering College, Thirunindravur, Chennai 602024",142.5,EC,2025,140033,13,,,,,0,,,,false,true,Cafeteria | Auditorium | Sports facilities | Medical facilities | Wi-Fi campus | Gymnasium | Laboratories | Innovation centre | Central library,www.jec.ac.in,medium,3,https://jec.ac.in/ | https://jec.ac.in/naac-jec/ | https://jec.ac.in/hostel/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-TiruttaniNH Road, Thiruvallur District 631204",127,CS,2025,180170,5,,,,,0,,,,false,true,Central library | Transport | Laboratories | Cafeteria,www.jitcollege.edu.in,medium,2,https://www.jitcollege.edu.in/facilities.php | https://www.jitcollege.edu.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
