collegeCode,collegeName,status,grade,cycle,validFrom,validUntil,currentSourceUrl,collegeWebsite,officialNaacDashboard,searchName
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",needs_verification,,,,,,ceg.annauniv.edu,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025"
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",needs_verification,,,,,,https://www.annauniv.edu/act/,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025"
3,"School of Architecture and Planning, Anna University, Chennai 600025",needs_verification,,,,,,www.annauniv.edu,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"School of Architecture and Planning, Anna University, Chennai 600025"
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",needs_verification,,,,,,www.annauniv.edu/www.mitindia.edu,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044"
5,"Annamalai University Faculty of Engineering and Technology, Annamalai nagar,",needs_verification,,,,,,www.annamalaiuniversity.ac.in,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"Annamalai University Faculty of Engineering and Technology, Annamalai nagar,"
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District",needs_verification,,,,,,http://www.aucev.edu.in/index.html,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"University College of Engineering, Villupuram, Kakuppam, Villupuram District"
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",needs_verification,,,,,,www.aucet.in,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001"
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326",needs_verification,,,,,,https://www.aucearni.in/,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326"
1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District",needs_verification,,,,,,www.aucek.in,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District"
1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055",needs_verification,,,,,,www.aalimec.ac.in,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055"
1102,Bhajarang Engineering College,needs_verification,,,,,,,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,Bhajarang Engineering College
1106,"Jaya Engineering College, Thirunindravur, Chennai 602024",needs_verification,,,,,,www.jec.ac.in,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"Jaya Engineering College, Thirunindravur, Chennai 602024"
1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-TiruttaniNH Road, Thiruvallur District 631204",needs_verification,,,,,,www.jitcollege.edu.in,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-TiruttaniNH Road, Thiruvallur District 631204"
1110,"Prathyusha Engineering college, (Autonomous) Aranvoyalkuppam, Thiruvallur District 602025",needs_verification,,,,,,www.prathyusha.edu.in,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"Prathyusha Engineering college, (Autonomous) Aranvoyalkuppam, Thiruvallur District 602025"
1111,Rajalakshmi Engineering College (Off Campus),needs_verification,,,,,,,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,Rajalakshmi Engineering College (Off Campus)
1112,"R M D Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District 601206",needs_verification,,,,,,www.rmd.ac.in,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"R M D Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District 601206"
1114,"S A Engineering College (Autonomous), Thiruverkadu, Chennai 600077",needs_verification,,,,,,www.saec.ac.in,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"S A Engineering College (Autonomous), Thiruverkadu, Chennai 600077"
1115,"Sri Ram Engineering College, Perumalpattu, Veppampattu (R S), Thiruvallur District 602 024",needs_verification,,,,,,,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"Sri Ram Engineering College, Perumalpattu, Veppampattu (R S), Thiruvallur District 602 024"
1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203",needs_verification,,,,,,www.sriventech.ac.in,https://assessmentonline.naac.gov.in/public/index.php/hei_dashboard,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203"
