address,antiphone,autonomous_status,bank_name,branches_summary,college_code,college_name,dist_from_hq,dist_from_railway,district,email,hostel_accommodation_available_boys,hostel_accommodation_available_girls,hostel_admission_fees,hostel_caution_deposit,hostel_electricity_charges,hostel_electricity_charges_boys,hostel_electricity_charges_girls,hostel_establishment_charges,hostel_max_transport_charges,hostel_mess_bill,hostel_mess_bill_boys,hostel_mess_bill_girls,hostel_min_transport_charges,hostel_permanent_or_rental,hostel_permanent_or_rental_boys,hostel_permanent_or_rental_girls,hostel_room_rent,hostel_room_rent_boys,hostel_room_rent_girls,hostel_transport_facilities,hostel_type_of_mess,hostel_type_of_mess_boys,hostel_type_of_mess_girls,minority_status,nearest_railway,note,phone_fax,pincode,principal_dean,taluk,website
"SARDAR PATEL ROAD, GUINDY,",9841244331,Yes,SATATE BANK INDIA,BY(60); CE(60); CS(60),1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",10,3,CHENNAI,cegdeanoffice@gmail.com,Yes,Yes,1200,4500,,1120,1120,32150,0,,4000,4000,0,,Permanent,Permanent,,1100,1100,No,,Both,Both,No,KASTHURIBAI NAGAR GUINDY,,4422358490,600025,DR L SUGANTHI,MAMBALAM / GUINDY,ceg.annauniv.edu
ALAGAPPA COLLEGE OF,9444309701,Yes,X,AP(30); CL(60),2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",8,3,CHENNAI,actechau@gmail.com,Yes,Yes,600,4500,,94,94,23100,0,,2500,2500,0,,Permanent,Permanent,,50,50,No,,Both,Both,No,GUINDY,,9444309701,600025,DR R JAYAVEL,GUINDY,https://www.annauniv.edu/act/
SARDAR PATEL ROAD,9884440722,Yes,STATE BANK OF INDIA,BP(40); AR(40); BA(40),3,"School of Architecture and Planning, Anna University, Chennai 600025",10,3,CHENNAI,deansap@annauniv.edu,Yes,Yes,1200,4500,,94,94,32150,0,,3540,3540,0,,Permanent,Permanent,,92,92,No,,Both,Both,No,KASTHURIBAI NAGAR GUINDY,,4422359295,600025,DR K R SITALAKSHMI,MAMBALAM/GUINDY,www.annauniv.edu
"MIT CAMPUS , ANNA UNIVERSITY,",9444276725,Yes,INDIAN BANK,AT(60); AE(60); AU(60),4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",18,1,CHENGALPATTU,dean@mitindia.edu,Yes,Yes,200,4600,,1120,1120,18700,0,,17500,17500,0,,Permanent,Permanent,,675,675,No,,Both,Both,No,CHROMEPET,,4422516002,600044,DR J PRAKASH,TAMBARAM,www.annauniv.edu/www.mitindia.edu
"DEAN, FACULTY OF ENGINEERING",9443612644,Yes,ICICI BANK,AM(60); CE(60),5,"Annamalai University Faculty of Engineering and Technology, Annamalai nagar,",42,2,CUDDALORE,aufeatdean@gmail.com,Yes,Yes,500,5000,,300,300,10500,0,,2250,2250,0,,Permanent,Permanent,,700,700,No,,Both,Both,No,CHIDAMBARAM,,9171474175,608002,DR C KARTHIKEYAN,CHIDAMBARAM,www.annamalaiuniversity.ac.in
,,,,,6,"2636     A V S Engineering College, Military Road, Ammapet, Salem District 636003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
,,,,,12,"1501     Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
,,,,,26,"1026   Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
,,,,,27,"2025   NavavoorBharathiyar University Post, Somayampalayam, Coimbatore District",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
,,,,,28,"2025   NavavoorBharathiyar University Post, Somayampalayam, Coimbatore District",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
,,,,,34,"1402   Annai Teresa College of Engineering, Thirunavalur, Kallakkurichi District 607204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
,,,,,40,"1106   Jaya Engineering College, Thirunindravur, Chennai 602024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
,,,,,45,"1114   S A Engineering College (Autonomous), Thiruverkadu, Chennai 600077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
,,,,,50,"1504   Arunai Engineering College, Mathur, Thiruvannamalai District 606603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
,,,,,51,"1423   Asan Memorial College of Engineering and Technology, Chengalpattu-603 001.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
